ts	phase	decision	why	evidence	result
2026-07-28T16:01:46Z	frame	defined the migration predicate	the stack must compile as an Effect program, build OpenNext, bind each required resource once, remove Wrangler ownership, and leave cloud provisioning unverified	package.json, wrangler.jsonc, official Alchemy worker docs	open
2026-07-28T16:01:46Z	inventory	counted the existing deployment contract	the smallest safe migration preserves one worker, one D1 identity under two binding names, one KV namespace, two secrets, a custom domain, and generated artifacts	wrangler.jsonc, open-next.config.ts, env.d.ts	VERIFIED
2026-07-28T16:03:17Z	prototype	installed the documented Alchemy and Effect generation	installed source types are needed to test prebuilt OpenNext support and all four packages resolve to Effect beta 102	package.json, bun.lock, node_modules/alchemy/src/Cloudflare/Workers/Worker.ts	VERIFIED
2026-07-28T16:04:37Z	prototype	recorded the initial OpenNext build failure	OpenNext invokes bun by name and this automation shell does not expose the Bun binary on PATH	bunx opennextjs-cloudflare build output	INCONCLUSIVE
2026-07-28T16:07:40Z	prototype	built the real OpenNext artifact	the compiler emitted the Worker and assets that Alchemy must receive byte for byte	.open-next/worker.js, .open-next/assets, opennextjs-cloudflare build	VERIFIED
2026-07-28T16:13:13Z	implementation	added the prod-gated Effect stack and offline verifier	the stack preserves one D1 value under two names, one KV value, OpenNext artifacts, redacted secrets, and isolates non-prod stages	alchemy.run.ts, scripts/verify-effect-alchemy.ts, wrangler.dev.jsonc	VERIFIED
2026-07-28T16:14:39Z	documentation	documented adoption, local-only Wrangler use, and the chosen StaticSite contract	operators need a safe first deploy procedure and maintainers need one production owner	README.md, specs/architecture.md, docs/effect-alchemy-rationale.md, AGENTS.md	VERIFIED
2026-07-28T16:14:39Z	ui	ran the built Worker against a local D1 schema	the built request path needs a real runtime check even though local data cannot match production	/private/tmp/bloodwork-local-home.headers, /private/tmp/bloodwork-local-admin.headers, /private/tmp/bloodwork-local-auth.headers	PARTIALLY VERIFIED
2026-07-28T16:14:39Z	ui	recorded the unavailable browser check	the available browser runtime reported no browser, so screenshots and console inspection could not run	mcp node_repl browser setup result, /private/tmp/alchemy-migration-baseline-bloodwork.png	NOT VERIFIED
2026-07-28T16:22:41Z	throughput	reran the complete local delivery gate	one command now formats, tests, emits the actual Worker, and rejects deployment-shape drift before an operator can plan production	bun run check:full, .open-next/worker.js, bun run verify:deployment	VERIFIED
2026-07-28T16:24:18Z	deslop	reviewed and reduced the final change set	removed the redundant StaticSite assets option and made adoption commands project-local and identity wording unambiguous	alchemy.run.ts, package.json, README.md, docs/effect-alchemy-rationale.md	VERIFIED
2026-07-28T16:39:00Z	reproduction	traced missing cache initialization and broad module discovery	OpenNext deployed cache population before Wrangler publish, while Alchemy selected every matching module below .open-next	@opennextjs/cloudflare deploy.js and populate-cache.js, alchemy WorkerBundle.ts, built .open-next	VERIFIED
2026-07-28T16:39:00Z	throughput	defined a reusable cache-entry proof	one pure build-artifact reader will drive both cache seeding and offline verification instead of duplicating route-key logic	planned lib/opennext-cache.ts	open
2026-07-28T16:58:33Z	verification	proved OpenNext cache parity and module selection	cache paths map to OpenNext build-ID KV keys; beta.65's reader selected worker.js plus exactly ten configured modules	bun run check, bun run build:worker, readPrebuiltWorkerBundle offline output	VERIFIED
2026-07-28T16:58:33Z	smoke	proved the minimal prebuilt Worker closure	an isolated directory containing only worker.js and its ten configured modules served the dashboard and admin routes with local D1/KV bindings	wrangler dev on 127.0.0.1:8788, GET / 200, GET /admin 200, POST /api/auth malformed credential 401	VERIFIED
2026-07-28T16:58:33Z	deslop	reviewed remediation boundaries	shared one literal module-rule source between stack and verifier; no transitive verifier dependency or generated deployment state is tracked	alchemy.run.ts, lib/opennext-worker-bundle.ts, scripts/verify-effect-alchemy.ts	VERIFIED
